index,Industry,per2020,per2021,per2015,per2010,,Civilian employed by Industry
0,"Agriculture, forestry, fishing and hunting, and mining",0.4 ,0.3 ,0.5 ,0.3 ,,
1,Construction,3.4 ,3.4 ,3.8 ,3.4 ,,
2,Manufacturing,5.3 ,5.5 ,5.5 ,5.4 ,,
3,Wholesale trade,1.5 ,1.6 ,1.7 ,2.3 ,,
4,Retail trade,9.4 ,9.5 ,10.1 ,9.8 ,,
5,"Transportation and warehousing, and utilities",4.3 ,4.5 ,3.6 ,3.9 ,,
6,Information,1.7 ,1.7 ,2.2 ,2.3 ,,
7,"Finance and insurance, and real estate and rental and leasing",8.7 ,8.5 ,7.5 ,7.8 ,,
8,"Professional, scientific, and management, and administrative and waste management services",14.3 ,14.4 ,11.8 ,11.0 ,,
9,"Educational services, and health care and social assistance",32.7 ,33.0 ,33.0 ,33.5 ,,
10,"Arts, entertainment, and recreation, and accommodation and food services",10.4 ,9.9 ,11.5 ,11.1 ,,
11,"Other services, except public administration",4.7 ,4.7 ,4.4 ,4.9 ,,
12,Public administration,3.1 ,3.1 ,4.3 ,4.4 ,,
