DATE,unemploymentrate
1990/1/1,4.9
1990/2/1,4.9
1990/3/1,4.9
1990/4/1,4.9
1990/5/1,4.9
1990/6/1,5
1990/7/1,5.1
1990/8/1,5.2
1990/9/1,5.3
1990/10/1,5.5
1990/11/1,5.7
1990/12/1,5.9
1991/1/1,6.1
1991/2/1,6.2
1991/3/1,6.2
1991/4/1,6.2
1991/5/1,6.2
1991/6/1,6.1
1991/7/1,6.1
1991/8/1,6.1
1991/9/1,6.2
1991/10/1,6.3
1991/11/1,6.5
1991/12/1,6.7
1992/1/1,6.8
1992/2/1,6.9
1992/3/1,6.9
1992/4/1,6.9
1992/5/1,6.9
1992/6/1,7
1992/7/1,7
1992/8/1,7
1992/9/1,7
1992/10/1,7
1992/11/1,6.9
1992/12/1,6.9
1993/1/1,6.9
1993/2/1,6.9
1993/3/1,6.9
1993/4/1,7
1993/5/1,7
1993/6/1,7
1993/7/1,7
1993/8/1,7
1993/9/1,6.9
1993/10/1,6.9
1993/11/1,6.8
1993/12/1,6.8
1994/1/1,6.8
1994/2/1,6.8
1994/3/1,6.8
1994/4/1,6.8
1994/5/1,6.8
1994/6/1,6.8
1994/7/1,6.7
1994/8/1,6.6
1994/9/1,6.5
1994/10/1,6.3
1994/11/1,6.2
1994/12/1,6
1995/1/1,6
1995/2/1,5.9
1995/3/1,6
1995/4/1,6
1995/5/1,6.1
1995/6/1,6.1
1995/7/1,6.1
1995/8/1,6.1
1995/9/1,6
1995/10/1,6
1995/11/1,5.9
1995/12/1,5.8
1996/1/1,5.7
1996/2/1,5.6
1996/3/1,5.5
1996/4/1,5.4
1996/5/1,5.3
1996/6/1,5.3
1996/7/1,5.2
1996/8/1,5.1
1996/9/1,5
1996/10/1,5
1996/11/1,5
1996/12/1,5
1997/1/1,5
1997/2/1,5.1
1997/3/1,5.1
1997/4/1,5.1
1997/5/1,5.1
1997/6/1,5.1
1997/7/1,5
1997/8/1,5
1997/9/1,4.9
1997/10/1,4.8
1997/11/1,4.8
1997/12/1,4.7
1998/1/1,4.7
1998/2/1,4.6
1998/3/1,4.6
1998/4/1,4.6
1998/5/1,4.5
1998/6/1,4.6
1998/7/1,4.6
1998/8/1,4.7
1998/9/1,4.7
1998/10/1,4.7
1998/11/1,4.7
1998/12/1,4.7
1999/1/1,4.6
1999/2/1,4.5
1999/3/1,4.5
1999/4/1,4.4
1999/5/1,4.5
1999/6/1,4.5
1999/7/1,4.5
1999/8/1,4.5
